Ano	VP	VA
1994	127451 	187711 
1995	137190 	250510 
1996	221474 	212210 
1997	258272 	248107 
1998	304921 	327701 
1999	338327 	381469 
2000	345923 	392032 
2001	451871 	427853 
2002	573607	1239200
2003	546269	1242909
2004	524413	1163553
2005	600846	1062898
2006	660626	1258785
2007	632383	1209602
2008	728395	1254430
2009	748796	1452859
2010	1094272	2219359
2011	1475841	4313385
2012	1515863	4127920
2013	1890248	5165834
2014	2002054	5181035
2015	2079211	5793490
2016	2286659	5879993
2017	2282893	5604035
2018	2263485	5514898
2019	2342537	4970468

